strategy_id,method_type,model,model_label,runtime_seconds,actual_sum,prediction_sum,n,MAE,RMSE,WAPE,group_count,avg_products_per_group,min_products_per_group,max_products_per_group,strategy_label,aggregation_basis,business_interpretation,noise_reduction,product_info_loss,complexity,interpretability_score,paper_writeability_score,answers_question,recommended_role,replace_current_judgement,WAPE_pct
A_product_sum_to_category,product_forecast_then_sum,exp_smoothing,简单指数平滑,0.44353880000016943,5606.0,5368.529618738101,248,7.873485186240072,13.948911876999755,0.3483097263980624,8,1.5,1,2,方案A：单品预测后按附件类别加总,附件类别字段，先单品后类别,强：最终仍按题目中的同类零食类别呈现,中：预测在单品层面完成，类别加总后抵消部分误差,低：先保留单品，再汇总,中：需要维护每个商品序列,5,5,是：输出仍是附件类别总销量,可作为类别直接预测的对照方案,不替换；误差略高于类别直接预测,34.83097263980624
A_product_sum_to_category,product_forecast_then_sum,moving_average_7,移动平均(7日),0.44353880000016943,5606.0,5489.285714285714,248,8.245967741935484,14.174448610676944,0.3647877274348912,8,1.5,1,2,方案A：单品预测后按附件类别加总,附件类别字段，先单品后类别,强：最终仍按题目中的同类零食类别呈现,中：预测在单品层面完成，类别加总后抵消部分误差,低：先保留单品，再汇总,中：需要维护每个商品序列,5,5,是：输出仍是附件类别总销量,可作为类别直接预测的对照方案,不替换；误差略高于类别直接预测,36.47877274348912
A_product_sum_to_category,product_forecast_then_sum,same_weekday_mean_8,同星期均值(近8周),0.44353880000016943,5606.0,5982.0,248,8.850806451612904,15.057266357519559,0.39154477345701033,8,1.5,1,2,方案A：单品预测后按附件类别加总,附件类别字段，先单品后类别,强：最终仍按题目中的同类零食类别呈现,中：预测在单品层面完成，类别加总后抵消部分误差,低：先保留单品，再汇总,中：需要维护每个商品序列,5,5,是：输出仍是附件类别总销量,可作为类别直接预测的对照方案,不替换；误差略高于类别直接预测,39.15447734570103
B_category_direct,direct_group_forecast,exp_smoothing,简单指数平滑,0.2997568000000683,5606.0,5366.760937604124,248,7.852726047253847,13.932514522988074,0.34739137704583556,8,1.5,1,2,方案B：按附件类别聚合后预测,附件类别字段，先聚合后预测,强：直接对应附件类别和题目同类零食,强：类别总量比单品更平滑,中：类别内部单品差异被隐藏,低：只预测类别序列,5,5,是：直接输出附件类别总销量,建议作为问题二主方案,保留；与当前原方案一致,34.739137704583555
B_category_direct,direct_group_forecast,moving_average_7,移动平均(7日),0.2997568000000683,5606.0,5489.285714285714,248,8.245967741935484,14.174448610676944,0.36478772743489124,8,1.5,1,2,方案B：按附件类别聚合后预测,附件类别字段，先聚合后预测,强：直接对应附件类别和题目同类零食,强：类别总量比单品更平滑,中：类别内部单品差异被隐藏,低：只预测类别序列,5,5,是：直接输出附件类别总销量,建议作为问题二主方案,保留；与当前原方案一致,36.478772743489124
B_category_direct,direct_group_forecast,same_weekday_mean_8,同星期均值(近8周),0.2997568000000683,5606.0,5982.0,248,8.850806451612904,15.057266357519559,0.39154477345701033,8,1.5,1,2,方案B：按附件类别聚合后预测,附件类别字段，先聚合后预测,强：直接对应附件类别和题目同类零食,强：类别总量比单品更平滑,中：类别内部单品差异被隐藏,低：只预测类别序列,5,5,是：直接输出附件类别总销量,建议作为问题二主方案,保留；与当前原方案一致,39.15447734570103
C_cluster_direct,direct_group_forecast,exp_smoothing,简单指数平滑,0.22386480000022857,5606.0,5366.760937604124,186,9.350435100628895,18.001432718532826,0.3102356276698135,6,2.0,1,4,方案C：按销量模式聚类后聚合预测,训练期去星期效应后的销量模式聚类,中低：由数据模式得到，未必对应业务类别,中：相似波动商品合并后可能更平滑,中高：类别边界可能跨业务品类,中：需要解释标准化、聚类数和聚类含义,3,3,部分：输出销量模式类，不是附件业务类别,作为稳健性或补充探索,不替换；误差较低但业务类别含义弱,31.02356276698135
C_cluster_direct,direct_group_forecast,moving_average_7,移动平均(7日),0.22386480000022857,5606.0,5489.285714285714,186,9.804147465437786,18.462189058746638,0.32528923092604856,6,2.0,1,4,方案C：按销量模式聚类后聚合预测,训练期去星期效应后的销量模式聚类,中低：由数据模式得到，未必对应业务类别,中：相似波动商品合并后可能更平滑,中高：类别边界可能跨业务品类,中：需要解释标准化、聚类数和聚类含义,3,3,部分：输出销量模式类，不是附件业务类别,作为稳健性或补充探索,不替换；误差较低但业务类别含义弱,32.528923092604856
C_cluster_direct,direct_group_forecast,same_weekday_mean_8,同星期均值(近8周),0.22386480000022857,5606.0,5982.0,186,10.233870967741936,19.12806128426568,0.3395469140206921,6,2.0,1,4,方案C：按销量模式聚类后聚合预测,训练期去星期效应后的销量模式聚类,中低：由数据模式得到，未必对应业务类别,中：相似波动商品合并后可能更平滑,中高：类别边界可能跨业务品类,中：需要解释标准化、聚类数和聚类含义,3,3,部分：输出销量模式类，不是附件业务类别,作为稳健性或补充探索,不替换；误差较低但业务类别含义弱,33.95469140206921
D_sales_scale_direct,direct_group_forecast,exp_smoothing,简单指数平滑,0.11469250000027387,5606.0,5327.462030016184,93,14.611609966215628,27.295373599032146,0.24239738260043764,3,4.0,4,4,方案D：按销量规模分组后预测,训练期总销量高/中/低分组,低：规模分组不是同类零食,中：低销量组被合并,高：业务类别和商品属性被弱化,低：分组规则简单,2,2,否：输出高/中/低销量组，不是同类零食,只作误差下界和噪声合并参考,不替换；预测口径已改变，不能回答类别预测要求,24.239738260043765
D_sales_scale_direct,direct_group_forecast,same_weekday_mean_8,同星期均值(近8周),0.11469250000027387,5606.0,5982.0,93,15.494623655913978,26.90611164932647,0.25704602211915806,3,4.0,4,4,方案D：按销量规模分组后预测,训练期总销量高/中/低分组,低：规模分组不是同类零食,中：低销量组被合并,高：业务类别和商品属性被弱化,低：分组规则简单,2,2,否：输出高/中/低销量组，不是同类零食,只作误差下界和噪声合并参考,不替换；预测口径已改变，不能回答类别预测要求,25.704602211915805
D_sales_scale_direct,direct_group_forecast,moving_average_7,移动平均(7日),0.11469250000027387,5606.0,5489.285714285715,93,16.087557603686637,27.48802679880966,0.2668824218949085,3,4.0,4,4,方案D：按销量规模分组后预测,训练期总销量高/中/低分组,低：规模分组不是同类零食,中：低销量组被合并,高：业务类别和商品属性被弱化,低：分组规则简单,2,2,否：输出高/中/低销量组，不是同类零食,只作误差下界和噪声合并参考,不替换；预测口径已改变，不能回答类别预测要求,26.68824218949085
E_low_sales_other,direct_group_forecast,exp_smoothing,简单指数平滑,0.3059356999992815,5606.0,5366.760937604129,248,8.159403453258909,13.464623966323327,0.3609582690703192,8,1.5,1,5,方案E：低销量商品合并为其他类后预测,训练期销量占比低于 3% 的商品合并为其他类,中：适合处理长尾，但其他类业务含义混杂,中：低销量零散波动被合并,中：主力商品保留，长尾商品损失细节,中低：规则易解释，但阈值需要说明,4,4,部分：主力商品清楚，其他类业务含义混杂,不作为主方案，可作为长尾处理讨论,不替换；误差未优于原类别方案,36.09582690703192
E_low_sales_other,direct_group_forecast,moving_average_7,移动平均(7日),0.3059356999992815,5606.0,5489.285714285715,248,8.560483870967742,13.824159639199975,0.37870139136639314,8,1.5,1,5,方案E：低销量商品合并为其他类后预测,训练期销量占比低于 3% 的商品合并为其他类,中：适合处理长尾，但其他类业务含义混杂,中：低销量零散波动被合并,中：主力商品保留，长尾商品损失细节,中低：规则易解释，但阈值需要说明,4,4,部分：主力商品清楚，其他类业务含义混杂,不作为主方案，可作为长尾处理讨论,不替换；误差未优于原类别方案,37.87013913663932
E_low_sales_other,direct_group_forecast,same_weekday_mean_8,同星期均值(近8周),0.3059356999992815,5606.0,5982.0,248,9.232862903225806,14.699056023563926,0.40844630752764893,8,1.5,1,5,方案E：低销量商品合并为其他类后预测,训练期销量占比低于 3% 的商品合并为其他类,中：适合处理长尾，但其他类业务含义混杂,中：低销量零散波动被合并,中：主力商品保留，长尾商品损失细节,中低：规则易解释，但阈值需要说明,4,4,部分：主力商品清楚，其他类业务含义混杂,不作为主方案，可作为长尾处理讨论,不替换；误差未优于原类别方案,40.84463075276489
